factory_name,article_count,latest_article,prevalence_child_labour,prevalence_forced_labour,prevalence_discrimination,prevalence_freedom_of_association,prevalence_working_hours,prevalence_compensation,prevalence_osh,prevalence_contracts,name_lower,os_id,name,address,lat,lng,number_of_workers,is_closed,raw_score,confidence,composite_score,risk_band,rank
Myanmar I-Tex Garment,1,14/03/2024,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,myanmar i-tex garment,,,,,,,,0.5,0.4094,0.2047,Low,110
CostecInternational Co. Ltd.,2,23/01/2026,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,costecinternational co. ltd.,MM2019221GMSKC7,CostecInternational Co. Ltd.,"Plot No. 34 - 36 Myataung Wun Gyi U Hmo Street, Industrial Zone - 3, Shwe Pyi Thar Township, Yangon",16.93258,96.08131,,False,0.375,0.5235,0.1963,Low,111
Myanmar Fortress Wealth,3,28/05/2025,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,myanmar fortress wealth,,,,,,,,0.3125,0.5809,0.1815,Low,112
Sheng Da Ming Apparel,2,12/02/2025,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,sheng da ming apparel,,,,,,,,0.3438,0.5235,0.18,Low,113
Li Da Garment,2,28/12/2023,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,li da garment,,,,,,,,0.3438,0.5235,0.18,Low,114
"Win & Win Co., Ltd",1,27/12/2025,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"win & win co., ltd",MM2025087S2EY6Z,"Win & Win Co., Ltd","6, Pyay Road, Ward (10), Hlaing, Yangon",16.8403781,96.1349145,,False,0.4375,0.4094,0.1791,Low,115
"Delta Mate Myanmar Co.,Ltd",1,04/01/2024,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"delta mate myanmar co.,ltd",MM2023002F40SEX,"Delta Mate Myanmar Co.,Ltd","Holding No - 1 / Ka, Plot No.7, 21,22,23,28,29. Block No.998A, Ma Kyi Kan Kwin, Ka Li Htaw (East) Village Tract, Hlegu Township",17.1526379,96.2429045,,False,0.4375,0.4094,0.1791,Low,116
Cheung Hing Myanmar,2,30/11/2023,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,cheung hing myanmar,,,,,,,,0.3125,0.5235,0.1636,Low,117
Lian Fa (Myanmar),2,18/02/2025,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,lian fa (myanmar),,,,,,,,0.3125,0.5235,0.1636,Low,118
Tong Ying HK (Garment),1,23/10/2023,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,tong ying hk (garment),,,,,,,,0.375,0.4094,0.1535,Low,119
General Textile,1,14/02/2026,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,general textile,,,,,,,,0.375,0.4094,0.1535,Low,120
Wang Tat Poly-bags Mfg Co,1,03/12/2024,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,wang tat poly-bags mfg co,MM2022103F2FFVE,Wang Tat Poly-bags Mfg Co, No 125 Htun Nyo Road Shwepyithar Industrial Area Zone (3) Shwepyithar Township Yangon,16.969617,96.0732146,,False,0.3125,0.4094,0.1279,Low,121
Hosheng Myanmar Garment Factory,1,13/07/2025,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,hosheng myanmar garment factory,,,,,,,,0.3125,0.4094,0.1279,Low,122
Diamond Sea Sar Garment,1,18/01/2024,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,diamond sea sar garment,,,,,,,,0.3125,0.4094,0.1279,Low,123
"Myanmar Handsome Garments Co., Ltd.",1,10/03/2026,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"myanmar handsome garments co., ltd.",MM20200430EGZBD,"Myanmar Handsome Garments Co., Ltd.","No.167 Pantinwun U Shwe Bin Street, East Dagon Industrial Zone, Dagon Myo Thit (East) Township, 11451, Yangon, Yangon, Myanmar",16.9057748,96.2457891,,False,0.3125,0.4094,0.1279,Low,124
"Rainbowtex (Myanmar) Garments Co., Ltd.",1,30/11/2023,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"rainbowtex (myanmar) garments co., ltd.",MM2020325HNRCCY,"Rainbowtex (Myanmar) Garments Co., Ltd.","Plot No-75, Myay Taing Block No-49, War Ta Yar Industrial Zone, Shwe Pyi Thar Township, Yangon, , ",16.9884539,96.0510584,971|971,False,0.3125,0.4094,0.1279,Low,125
Golden Propitious (Myanmar) Garment,1,17/09/2024,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,golden propitious (myanmar) garment,,,,,,,,0.3125,0.4094,0.1279,Low,126
Aqua Shoe Factory,1,17/11/2024,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,aqua shoe factory,,,,,,,,0.25,0.4094,0.1024,Low,127
GTIG HUBO,4,24/12/2025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,gtig hubo,,,,,,,,0.125,0.6168,0.0771,Low,128
ZYZ Apparel,1,09/02/2024,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,zyz apparel,,,,,,,,0.1875,0.4094,0.0768,Low,129
GTIG Guohua Glory Garment,2,28/05/2025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,gtig guohua glory garment,,,,,,,,0.125,0.5235,0.0654,Low,130
Textile Palace,1,07/11/2024,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,textile palace,,,,,,,,0.125,0.4094,0.0512,Low,131
Myanmar Shoe Dynasty,1,26/08/2023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,myanmar shoe dynasty,,,,,,,,0.0625,0.4094,0.0256,Low,132
Zhejiang Tongli Clothing,1,07/05/2025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,zhejiang tongli clothing,,,,,,,,0.0625,0.4094,0.0256,Low,133
